Unique Id,Company Name,City,State,Type,Status,Abbreviation
SSP,SOUTHWEST STEEL PROCESSING LLC,Newport,Arkansas,Client Vendor,Active,SSP
SII,"SOUTHWESTERN INDUSTRIES, INC.",Rancho Dominguez,California,vendor,Active,
SRC,"SRC OF LEXINGTON, INC",Lexington,Kentucky,Client Vendor,Active,
STM,STEEL TECH METALLURGICAL,Stow,Ohio,vendor,Active,
SUM-HYD,SUMMIT HYDRAULICS,Phoenix,Arizona,vendor,Active,
SDSS,SUPERIOR DIE SET CORPORATION,Oak Creek,Wisconsin,vendor,Active,
SSON,SURPLUS SALES OF NEBRASKA,Fort Calhoun,Nebraska,vendor,Active,
SWI1,Swiss Steel Group,,Washington,vendor,Active,
SYPRIS,SYPRIS TECHNOLOGIES,Louisville,Kentucky,Client Vendor,Active,Sypris
TSI,TECH SPEC INC.,Midland,Michigan,vendor,Active,
TEK,TEKFAB,North Perry,Ohio,Client Vendor,Active,Tekfab
EDCO,THE EDCO COMPANY STORE,Frederick,Maryland,vendor,Active,
OKC,THE OKONITE COMPANY,Ramsey,New Jersey,Client Vendor,Active,Okonite
ULVEN,THE ULVEN COMPANIES,Hubbard,Oregon,Client Vendor,Active,Ulven
THK,THK,Schaumburg,Illinois,vendor,Active,
THORNTON,THORNTON INDUSTRIES INC.,Albion,Pennsylvania,Client Vendor,Active,
TK,THYSSENKRUPP CRANKSHAFT COMPANY,Danville,Illinois,Client Vendor,Active,TK
TITCNC,TITANS OF CNC,Flower Mound,Texas,vendor,Active,
TME1,TME US LLC,Peachtree Corners,Georgia,vendor,Active,
TL. DYN.,TOOL DYNAMICS,Columbus,Indiana,vendor,Active,
TOPY,TOPY AMERICA - AUTOMOTIVE,Frankfort,Kentucky,Client Vendor,Active,Topy
TMMA,"TOYOTA MOTOR MANUFACTURING, ALABAMA, INC.",Owens Cross Roads,Alabama,Client Vendor,Active,Toyota
TTAI,TOYOTETSU AMERICA INC.,Somerset,Kentucky,Client Vendor,Active,TTAI
TRAVERS,"TRAVERS TOOL CO., INC.",Newark,New Jersey,vendor,Active,
