ObjId,ObjType,ObjTxt,DescrTxt,EntryDate,OrderNo,Norm,Supplier,StorageLocation
3083,11,C-34,"0.020"" Harvey Tool Square Endmill - 0.03"" Flute - 1.5"" OAL",2024-12-17 03:00:00,HARV-14020-C3,Harvey Tool,Rocket Supply,ZTO_1
3085,11,C-35,3.2mm OSG A-Brand 3D Stub Length Carbide Drill,2024-12-17 03:00:00,OSG-HP243-1260,OSG,Rocket Supply,ZTO_1
3087,11,C-4,"1/2""-14 NPT OSG HY-PRO Cut Tap",2024-12-17 03:00:00,OSG-1205300508,OSG,Rocket Supply,ZTO_1
3089,11,C-5,"1/8""-27 NPT OSG EXPOTAP Cut Tap",2024-12-17 03:00:00,OSG-1735101,OSG,Rocket Supply,ZTO_1
3091,11,C-6,"3/4""-10 UNC OSG EXOTAP Cut Tap",2024-12-17 03:00:00,OSG-1753801,OSG,Rocket Supply,ZTO_1
3093,11,C-7,"1.531"" Allied TA Pro Carbide Insert",2024-12-17 03:00:00,ALLI-TAP3-38.89,Allied,Rocket Supply,ZTO_1
3095,11,C-8,"7/8""-9 UNC OSG EXOCARB Threadmill",2024-12-17 03:00:00,OSG-4100004811,OSG,Rocket Supply,ZTO_1
3097,11,C-9,M20x2.5 ISO OSG HY-PRO Cut Tap,2024-12-17 03:00:00,OSG-1311700101,OSG,Rocket Supply,ZTO_1
3100,11,C-36,M20x2.5 ISO OSG Form Tap,2024-12-17 03:00:00,OSG-1635020252,OSG,Rocket Supply,ZTO_1
3102,11,C-37,"1/4""-18 NPT OSG HY-PRO Cut Tap",2024-12-17 03:00:00,OSG-1205300308,OSG,Rocket Supply,ZTO_1
3104,11,C-38,"1.375"" Allied TA HSS Cobalt Insert - Tiny Chip",2024-12-17 03:00:00,ALLI-1C12H-0112-TC,Allied,Rocket Supply,ZTO_1
3192,11,C-39,M24x3.0 ISO OSG Cut Tap,2024-12-17 03:00:00,OSG-1311600401,OSG,Rocket Supply,ZTO_1
3194,11,C-40,"T8 Insert Screw for 3/8"" OSG PFB and PFR",2024-12-17 03:00:00,OSG-7808117,OSG,Rocket Supply,ZTO_1
3196,11,C-41,"1/4""-20 UNC OSG EXOTAP Cut Tap",2024-12-17 03:00:00,OSG-1752601,OSG,Rocket Supply,ZTO_1
3198,11,C-42,M10x1.5 ISO OSG EXOTAP Cut Tap,2024-12-17 03:00:00,OSG-1706101,OSG,Rocket Supply,ZTO_1
3200,11,C-43,"1/4""- 60 Degree Harvey Tool Engraving Tool - 2.5""",2024-12-17 03:00:00,HARV-877316-C6,Harvey Tool,Rocket Supply,ZTO_1
3202,11,C-44,"0.025"" Harvey Tool Ball Endmill - .037"" Flute Length - 1.5"" OAL",2024-12-17 03:00:00,HARV-24625-C3,Harvey Tool,Rocket Supply,ZTO_1
3204,11,C-45,"0.047"" Harvey Tool Ball Endmill - 0.500"" Neck Length - 2.5"" OAL",2024-12-17 03:00:00,HARV-13847,Harvey Tool,Rocket Supply,ZTO_1
3206,11,C-46,"0.811"" Insert for Ingersoll Gold Twist Drills",2024-12-17 03:00:00,INGE-5101246,Ingersoll,,ZTO_1
3208,11,C-47,M24x3.0 ISO OSG Form Tap,2024-12-17 03:00:00,OSG-1635024325,OSG,Rocket Supply,ZTO_1
3210,11,C-48,"0.080"" Harvey Tool Square Endmill - 0.240"" Flute Length - 1.5"" OAL",2024-12-17 03:00:00,HARV-72080-C4,Harvey Tool,Rocket Supply,ZTO_1
3212,11,C-49,"0.047"" Harvey Tool Long Reach Square Endmill - 0.500"" Neck Length - 2.5"" OAL",2024-12-17 03:00:00,HARV-13647,Harvey Tool,Rocket Supply,ZTO_1
3214,11,C-50,"0.047"" Garr Square Endmill - 0.125"" Flute Length - 1.5"" OAL",2024-12-17 03:00:00,GARR-13027,Garr Tool,,ZTO_1
3216,11,C-51,"0.093"" Harvey Tool Long Reach Ball Endmill - 2.312"" Neck Length - 4.0"" OAL",2024-12-17 03:00:00,HARV-40193-C3,Harvey Tool,Rocket Supply,ZTO_1
3218,11,C-52,0.8mm Horn Ball Endmill - 1.6mm Flute Length - 50mm OAL,2024-12-17 03:00:00,HORN-DSKM.2.08.00.30 TS3K,Horn,Rocket Supply,ZTO_1
3220,11,C-53,".032"" Garr Ball Endmill - .098"" Flute Length - 1.5"" OAL",2024-12-17 03:00:00,GARR-18017,Garr Tool,,ZTO_1
3222,11,C-54,"T20 Insert Screw for 1"" OSG PFB and PFR",2024-12-17 03:00:00,OSG-7808121,OSG,Rocket Supply,ZTO_1
3224,11,C-55,"1/2""-14 NPT Morse Tools Pipe Tap",2024-12-17 03:00:00,MT4036126,Morse Cutting Tools,Rocket Supply,ZTO_1
3226,11,C-56,"0.078"" Harvey Tool Long Reach Ball Endmill - 1.95"" Neck - 3.0"" OAL",2024-12-17 03:00:00,HARV-40178-C3,Harvey Tool,Rocket Supply,ZTO_1
3228,11,C-57,"T15 Insert Screw for 2"" Ingersoll IsoPlus Feedmill",2024-12-17 03:00:00,INGE-7019041,Ingersoll,,ZTO_1
3230,11,C-58,"0.709"" Insert for Iscar SumoCham Drills",2024-12-17 03:00:00,ISCA-05506640,Iscar,,ZTO_1
3232,11,C-59,"3/8"" 6-Flute IMCO OMEGA-6 Bull Endmill - 2.0"" Flute Length - 4.0"" OAL",2024-12-17 03:00:00,IMCO-69078,IMCO,,ZTO_1
3234,11,C-60,"1.0012"" Allied Carbide ALVAN Reamer Head",2024-12-17 03:00:00,ALLI-I7700-KAM-10012,Allied,,ZTO_1
3236,11,C-61,"7/8""-9 UNC OSG Form Tap",2024-12-17 03:00:00,OSG-1625078901,OSG,,ZTO_1
3238,11,C-62,"3/8"" Garr Bull Endmill - .02r - 0.375"" Flute Length - 4.0"" OAL",2024-12-17 03:00:00,GARR-63190,Garr Tool,Rocket Supply,ZTO_1
3240,11,C-63,"7/8""-9 UNC Morse Tools Cut Tap",2024-12-17 03:00:00,MT3732475,Morse Cutting Tools,Rocket Supply,ZTO_1
3242,11,C-64,#8-32 UNC OSG Form Tap,2024-12-17 03:00:00,OSG-1625008323,OSG,,ZTO_1
3244,11,C-65,3mm OSG PHX Ball Endmill w/ 20mm Neck Length,2024-12-17 03:00:00,OSG-3095341,OSG,,ZTO_1
3246,11,C-66,"0.970"" Allied Carbide ALVAN Reamer Head",2024-12-17 03:00:00,ALLI-I7700-SVM-09700,Allied,,ZTO_1
3248,11,C-67,M10x1.5 ISO Scientific Cutting Tools Carbide Threadmill,2024-12-17 03:00:00,,Scientific,,ZTO_1
3250,11,C-68,"1.005"" Allied Carbide ALVAN Reamer Head",2024-12-17 03:00:00,ALLI-I7700-KAM-10015,Allied,,ZTO_1
3252,11,C-69,"0.093"" Harvey Tool Long Reach Ball Endmill - 1.250"" Neck Length - 2.5"" OAL",2024-12-17 03:00:00,HARV-35693-C3,Harvey Tool,Rocket Supply,ZTO_1
3254,11,C-70,"5/16""-18 UNC OSG EXOTAP Cut Tap",2024-12-17 03:00:00,OSG-1752801,OSG,,ZTO_1
3256,11,C-71,"1/8"" OSG WXL Bull Endmill w/ .03r - 1.5"" OAL",2024-12-17 03:00:00,OSG-36700711,OSG,,ZTO_1
3258,11,C-72,"3/4""-10 Allied Threadmills USA Solid Threadmill",2024-12-17 03:00:00,ALLI-TM75010-XL,Allied,,ZTO_1
3260,11,C-73,M8x1.25 ISO OSG Form Tap,2024-12-17 03:00:00,OSG-1635008259,OSG,,ZTO_1
3262,11,C-74,M10x1.5 ISO OSG Form Tap,2024-12-17 03:00:00,OSG-1635010150,OSG,,ZTO_1
3264,11,C-75,3mm OSG PHX Ball Endmill w/ 40mm Neck Length,2024-12-17 03:00:00,OSG-3095344,OSG,,ZTO_1
3266,11,C-76,"0.062"" Harvey Tool Long Reach Ball Endmill - 0.500"" Neck Length - 2.5"" OAL",2024-12-17 03:00:00,HARV-34262-C3,Harvey Tool,Rocket Supply,ZTO_1
3268,11,C-77,"T20 Insert Screw for 3/4"" OSG PFB and PFR",2024-12-17 03:00:00,OSG-7808120,OSG,Rocket Supply,ZTO_1
3270,11,C-78,"1/16"" Garr Ball Endmill - 0.250"" Flute Length - 1.5"" OAL",2024-12-17 03:00:00,GARR-18037,Garr Tool,Rocket Supply,ZTO_1
3272,11,C-79,"3/8"" T06 Ingersoll Chip Surfer Bull Endmill Tip w/ .06r",2024-12-17 03:00:00,INGE-5809780,Ingersoll,Rocket Supply,ZTO_1
3274,11,C-80,"3/8"" T06 Ingersoll Chip Surfer Ball Endmill Tip",2024-12-17 03:00:00,INGE-5812312,Ingersoll,Rocket Supply,ZTO_1
3276,11,C-81,10mm Insert for Moldino SRF Ballmill,2024-12-17 03:00:00,SRFT10 EP6120 EV0547ZCJ00CX,Mitsubishi,Rocket Supply,ZTO_2
3278,11,C-82,"Insert Screw for 3"" SECO T-Slot Cutter",2024-12-17 03:00:00,SECO-36928,SECO,Rocket Supply,ZTO_2
3280,11,C-83,5 TPI Insert for Carmex Helical Indexable Threadmill - 32mm Insert Length,2024-12-17 03:00:00,CARM-50900034,Carmex,Rocket Supply,ZTO_2
3282,11,C-84,3.5 ISO Insert for Carmex Indexable Threadmill - 21mm Insert Length,2024-12-17 03:00:00,CARM-50500056,Carmex,Rocket Supply,ZTO_2
3284,11,C-85,"5/16"" T05 Ingersoll Chip Surfer Ball Endmill Tip",2024-12-17 03:00:00,INGE-5812311,Ingersoll,Rocket Supply,ZTO_2
3286,11,C-86,"3/8""-16 UNC OSG Form Tap",2024-12-17 03:00:00,OSG-1625038167,OSG,Rocket Supply,ZTO_2
